Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Delhi,"Financial Year (Apr - Mar), 2020",2653,1.3,97.7
India,Goa,"Financial Year (Apr - Mar), 2020",1124,11.2,82.9
India,Gujarat,"Financial Year (Apr - Mar), 2020",5441,1.5,96.8
India,Haryana,"Financial Year (Apr - Mar), 2020",6136,0.1,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",7934,9,38.8
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2020",-24209.61791,50.1,73.4
India,Jharkhand,"Financial Year (Apr - Mar), 2020",518,38.9,76.2
India,Karnataka,"Financial Year (Apr - Mar), 2020",6000,4.5,95.1
India,Kerala,"Financial Year (Apr - Mar), 2020",6199,14.5,85.6
India,Ladakh,"Financial Year (Apr - Mar), 2020",-541.3820869,50.1,73.4
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",7387,5.2,92.1
India,Maharashtra,"Financial Year (Apr - Mar), 2020",36441,11.6,82.1
India,Manipur,"Financial Year (Apr - Mar), 2020",201,35.3,45.4
India,Meghalaya,"Financial Year (Apr - Mar), 2020",1204,7.2,22.1
India,Mizoram,"Financial Year (Apr - Mar), 2020",2032,4.4,60.6
India,Nagaland,"Financial Year (Apr - Mar), 2020",816,14.6,58.4
India,Odisha,"Financial Year (Apr - Mar), 2020",6850,1.3,98.4
India,Puducherry,"Financial Year (Apr - Mar), 2020",567,17.1,85.7
India,Punjab,"Financial Year (Apr - Mar), 2020",2463,1,99.4
India,Rajasthan,"Financial Year (Apr - Mar), 2020",6581,0.2,98.9
India,Sikkim,"Financial Year (Apr - Mar), 2020",764,3.8,17.3
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",14795,4.1,99.4
India,Telangana,"Financial Year (Apr - Mar), 2020",4634,0.1,98
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2020",1222,5.9,84.9
India,Tripura,"Financial Year (Apr - Mar), 2020",1967,4.8,95.4
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",4547,5.4,85.3
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",1095,7.6,96.9
India,West Bengal,"Financial Year (Apr - Mar), 2020",10184,4.1,91.3
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2019",367,48.1,38.4
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",9991,1.2,99.7
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",-1550,54.2,1.8
India,Assam,"Financial Year (Apr - Mar), 2019",736,6.8,25.9
India,Bihar,"Financial Year (Apr - Mar), 2019",4885,4.9,77.7
India,Chandigarh,"Financial Year (Apr - Mar), 2019",341,6.2,80.7
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",2576,3,93.9
India,Delhi,"Financial Year (Apr - Mar), 2019",2072,1.4,97
India,Goa,"Financial Year (Apr - Mar), 2019",4442,10.4,85.9
India,Gujarat,"Financial Year (Apr - Mar), 2019",3173,1.3,94.8
India,Haryana,"Financial Year (Apr - Mar), 2019",5150,0.1,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",5049,8,51.2
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2019",1456.430895,5.1,79.5
India,Jharkhand,"Financial Year (Apr - Mar), 2019",264,51.6,64.3
India,Karnataka,"Financial Year (Apr - Mar), 2019",5100,3.7,97.2
India,Kerala,"Financial Year (Apr - Mar), 2019",37475,15.3,98.4
India,Ladakh,"Financial Year (Apr - Mar), 2019",32.56910539,5.1,79.5
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",12789,5.4,92.9
India,Maharashtra,"Financial Year (Apr - Mar), 2019",32500,10.8,79.3
India,Manipur,"Financial Year (Apr - Mar), 2019",200,29.5,44.7
India,Meghalaya,"Financial Year (Apr - Mar), 2019",1128,7.4,22.1
India,Mizoram,"Financial Year (Apr - Mar), 2019",1262,5.6,67.8
India,Nagaland,"Financial Year (Apr - Mar), 2019",1272,13.7,62
India,Odisha,"Financial Year (Apr - Mar), 2019",8181,1.4,98.3
India,Puducherry,"Financial Year (Apr - Mar), 2019",2343,16.3,87.1
India,Punjab,"Financial Year (Apr - Mar), 2019",2269,1,99.6
India,Rajasthan,"Financial Year (Apr - Mar), 2019",5840,0.2,98.8
India,Sikkim,"Financial Year (Apr - Mar), 2019",1132,4.2,38.9
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",9017,2.7,99.6
India,Telangana,"Financial Year (Apr - Mar), 2019",3226,0.2,98.6
India,Tripura,"Financial Year (Apr - Mar), 2019",1775,3.8,86.9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",4328,5.9,83.3
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",225,9.3,97.2
India,West Bengal,"Financial Year (Apr - Mar), 2019",3354,4.2,91.6
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2018",1057,16.7,73
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",10041,1.3,98.4
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",-39,49.3,9.1
India,Assam,"Financial Year (Apr - Mar), 2018",1141,7.2,62.4
India,Bihar,"Financial Year (Apr - Mar), 2018",4731,4.8,96
India,Chandigarh,"Financial Year (Apr - Mar), 2018",394,5.7,81.9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",899,3.2,69.1
India,Delhi,"Financial Year (Apr - Mar), 2018",2225,1.6,85.8
India,Goa,"Financial Year (Apr - Mar), 2018",3462,8.6,86.4
India,Gujarat,"Financial Year (Apr - Mar), 2018",4294,2,96.7
India,Haryana,"Financial Year (Apr - Mar), 2018",3188,0,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",4109,9.2,54.5
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2018",134.9815067,4.4,34
India,Jharkhand,"Financial Year (Apr - Mar), 2018",-9673,52.4,40.4
India,Karnataka,"Financial Year (Apr - Mar), 2018",5000,4.3,98.3
India,Kerala,"Financial Year (Apr - Mar), 2018",22488,3.2,96.2
India,Ladakh,"Financial Year (Apr - Mar), 2018",3.018493313,4.4,34
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",2124,6.3,92
India,Maharashtra,"Financial Year (Apr - Mar), 2018",25135,8.1,82
India,Manipur,"Financial Year (Apr - Mar), 2018",65,32.6,6.1
India,Meghalaya,"Financial Year (Apr - Mar), 2018",1025,8.6,31.6
India,Mizoram,"Financial Year (Apr - Mar), 2018",960,8.8,40.6
India,Nagaland,"Financial Year (Apr - Mar), 2018",915,13.1,57.3
India,Odisha,"Financial Year (Apr - Mar), 2018",9281,1.6,98.1
India,Puducherry,"Financial Year (Apr - Mar), 2018",-4980,20.3,87.1
India,Punjab,"Financial Year (Apr - Mar), 2018",1777,1.1,99.6
India,Rajasthan,"Financial Year (Apr - Mar), 2018",5337,0.2,90.3
